12 then is ..[i,j] 2,0 = 1
12 then is ..[i,j] 3,0 = 12
12 then is ..[i,j] 4,0 = 2
12 then is ..[i,j] 5,0 = 12
12 then is ..[i,j] 5,1 = 1
12 then is ..[i,j] 6,0 = 3
3 then is ..[i,j] 6,1 = 3
3 then is ..[i,j] 6,2 = 1
12 then is ..[i,j] 7,0 = 2
2 then is ..[i,j] 7,1 = 2
2 then is ..[i,j] 7,2 = 2
2 then is ..[i,j] 7,3 = 1
12 then is ..[i,j] 8,0 = 2
2 then is ..[i,j] 8,1 = 2
2 then is ..[i,j] 8,2 = 2
2 then is ..[i,j] 8,3 = 2
2 then is ..[i,j] 8,4 = 1
12 then is ..[i,j] 9,0 = 2
2 then is ..[i,j] 9,1 = 2
2 then is ..[i,j] 9,2 = 2
2 then is ..[i,j] 9,3 = 2
2 then is ..[i,j] 9,4 = 2
12 then is ..[i,j] 10,0 = 2
2 then is ..[i,j] 10,1 = 2
2 then is ..[i,j] 10,2 = 2
2 then is ..[i,j] 10,3 = 2
2 then is ..[i,j] 10,4 = 2
12 then is ..[i,j] 11,0 = 3
3 then is ..[i,j] 11,1 = 2
2 then is ..[i,j] 11,2 = 2
2 then is ..[i,j] 11,3 = 2
2 then is ..[i,j] 11,4 = 2
